=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 10:19:22 CST

==> Running train_attack_blend_resnet_celeba_0.1_blend_no_smooth_epoch48.pt
Start time: 2025年 08月 07日 星期四 10:19:22 CST
using fraction:  1
[NC][t=2][r=0] step 200/800 | CE=0.0000 | L1=0.47606 | TV=0.00154
[NC][t=2][r=0] step 250/800 | CE=0.0000 | L1=0.46728 | TV=0.00196
[NC][t=2][r=0] step 300/800 | CE=0.0000 | L1=0.45791 | TV=0.00239
[NC][t=2][r=0] step 350/800 | CE=0.0000 | L1=0.44799 | TV=0.00281
[NC][t=2][r=0] step 400/800 | CE=0.0000 | L1=0.43755 | TV=0.00323
[NC][t=2][r=0] step 450/800 | CE=0.0000 | L1=0.42663 | TV=0.00363
[NC][t=2][r=0] step 500/800 | CE=0.0000 | L1=0.41527 | TV=0.00400
[NC][t=2][r=0] step 550/800 | CE=0.0000 | L1=0.40672 | TV=0.00426
[NC][t=2][r=0] step 600/800 | CE=0.0000 | L1=0.40545 | TV=0.00430
[NC][t=2][r=0] step 650/800 | CE=0.0000 | L1=0.40408 | TV=0.00434
[NC][t=2][r=0] step 700/800 | CE=0.0000 | L1=0.40259 | TV=0.00438
[NC][t=2][r=0] step 750/800 | CE=0.0000 | L1=0.40098 | TV=0.00442
[NC][t=2][r=0] step 800/800 | CE=0.0000 | L1=0.39925 | TV=0.00447
[NC][t=2][r=1] step 50/800 | CE=0.0000 | L1=0.50010 | TV=0.00172
[NC][t=2][r=1] step 100/800 | CE=0.0000 | L1=0.49851 | TV=0.00168
[NC][t=2][r=1] step 150/800 | CE=0.0000 | L1=0.49647 | TV=0.00165
[NC][t=2][r=1] step 200/800 | CE=0.0000 | L1=0.49407 | TV=0.00165
[NC][t=2][r=1] step 250/800 | CE=0.0000 | L1=0.49136 | TV=0.00168
[NC][t=2][r=1] step 300/800 | CE=0.0000 | L1=0.48838 | TV=0.00173
[NC][t=2][r=1] step 350/800 | CE=0.0000 | L1=0.48513 | TV=0.00181
[NC][t=2][r=1] step 400/800 | CE=0.0000 | L1=0.48163 | TV=0.00190
[NC][t=2][r=1] step 450/800 | CE=0.0000 | L1=0.47788 | TV=0.00202
[NC][t=2][r=1] step 500/800 | CE=0.0000 | L1=0.47390 | TV=0.00215
[NC][t=2][r=1] step 550/800 | CE=0.0000 | L1=0.47083 | TV=0.00225
[NC][t=2][r=1] step 600/800 | CE=0.0000 | L1=0.47037 | TV=0.00227
[NC][t=2][r=1] step 650/800 | CE=0.0000 | L1=0.46987 | TV=0.00228
[NC][t=2][r=1] step 700/800 | CE=0.0000 | L1=0.46933 | TV=0.00230
[NC][t=2][r=1] step 750/800 | CE=0.0000 | L1=0.46874 | TV=0.00232
[NC][t=2][r=1] step 800/800 | CE=0.0000 | L1=0.46810 | TV=0.00235
[NC][t=2][r=2] step 50/800 | CE=0.0000 | L1=0.49972 | TV=0.00169
[NC][t=2][r=2] step 100/800 | CE=0.0000 | L1=0.49814 | TV=0.00164
[NC][t=2][r=2] step 150/800 | CE=0.0000 | L1=0.49612 | TV=0.00162
[NC][t=2][r=2] step 200/800 | CE=0.0000 | L1=0.49376 | TV=0.00162
[NC][t=2][r=2] step 250/800 | CE=0.0000 | L1=0.49109 | TV=0.00165
[NC][t=2][r=2] step 300/800 | CE=0.0000 | L1=0.48815 | TV=0.00171
[NC][t=2][r=2] step 350/800 | CE=0.0000 | L1=0.48495 | TV=0.00178
[NC][t=2][r=2] step 400/800 | CE=0.0000 | L1=0.48150 | TV=0.00187
[NC][t=2][r=2] step 450/800 | CE=0.0000 | L1=0.47780 | TV=0.00198
[NC][t=2][r=2] step 500/800 | CE=0.0000 | L1=0.47385 | TV=0.00210
[NC][t=2][r=2] step 550/800 | CE=0.0000 | L1=0.47081 | TV=0.00219
[NC][t=2][r=2] step 600/800 | CE=0.0000 | L1=0.47035 | TV=0.00221
[NC][t=2][r=2] step 650/800 | CE=0.0000 | L1=0.46986 | TV=0.00222
[NC][t=2][r=2] step 700/800 | CE=0.0000 | L1=0.46932 | TV=0.00224
[NC][t=2][r=2] step 750/800 | CE=0.0000 | L1=0.46873 | TV=0.00226
[NC][t=2][r=2] step 800/800 | CE=0.0000 | L1=0.46810 | TV=0.00228
[NC][t=2] DONE | L1=0.399252 | TV=0.004467 | CE=0.0000
[NC][t=3][r=0] step 50/800 | CE=0.0000 | L1=0.49936 | TV=0.00110
[NC][t=3][r=0] step 100/800 | CE=0.0000 | L1=0.49706 | TV=0.00106
[NC][t=3][r=0] step 150/800 | CE=0.0000 | L1=0.49413 | TV=0.00107
[NC][t=3][r=0] step 200/800 | CE=0.0000 | L1=0.49070 | TV=0.00112
[NC][t=3][r=0] step 250/800 | CE=0.0000 | L1=0.48684 | TV=0.00120
[NC][t=3][r=0] step 300/800 | CE=0.0000 | L1=0.48260 | TV=0.00132
[NC][t=3][r=0] step 350/800 | CE=0.0000 | L1=0.47799 | TV=0.00145
[NC][t=3][r=0] step 400/800 | CE=0.0000 | L1=0.47303 | TV=0.00161
[NC][t=3][r=0] step 450/800 | CE=0.0000 | L1=0.46772 | TV=0.00178
[NC][t=3][r=0] step 500/800 | CE=0.0000 | L1=0.46207 | TV=0.00196
[NC][t=3][r=0] step 550/800 | CE=0.0000 | L1=0.45774 | TV=0.00209
[NC][t=3][r=0] step 600/800 | CE=0.0000 | L1=0.45709 | TV=0.00211
[NC][t=3][r=0] step 650/800 | CE=0.0000 | L1=0.45638 | TV=0.00213
[NC][t=3][r=0] step 700/800 | CE=0.0000 | L1=0.45562 | TV=0.00216
[NC][t=3][r=0] step 750/800 | CE=0.0000 | L1=0.45478 | TV=0.00218
[NC][t=3][r=0] step 800/800 | CE=0.0000 | L1=0.45388 | TV=0.00221
[NC][t=3][r=1] step 50/800 | CE=0.0000 | L1=0.49948 | TV=0.00125
[NC][t=3][r=1] step 100/800 | CE=0.0000 | L1=0.49667 | TV=0.00124
[NC][t=3][r=1] step 150/800 | CE=0.0000 | L1=0.49317 | TV=0.00128
[NC][t=3][r=1] step 200/800 | CE=0.0000 | L1=0.48915 | TV=0.00138
[NC][t=3][r=1] step 250/800 | CE=0.0000 | L1=0.48469 | TV=0.00151
[NC][t=3][r=1] step 300/800 | CE=0.0000 | L1=0.47982 | TV=0.00167
[NC][t=3][r=1] step 350/800 | CE=0.0000 | L1=0.47458 | TV=0.00185
[NC][t=3][r=1] step 400/800 | CE=0.0000 | L1=0.46898 | TV=0.00205
[NC][t=3][r=1] step 450/800 | CE=0.0000 | L1=0.46303 | TV=0.00226
[NC][t=3][r=1] step 500/800 | CE=0.0000 | L1=0.45674 | TV=0.00247
[NC][t=3][r=1] step 550/800 | CE=0.0000 | L1=0.45194 | TV=0.00263
[NC][t=3][r=1] step 600/800 | CE=0.0000 | L1=0.45122 | TV=0.00265
[NC][t=3][r=1] step 650/800 | CE=0.0000 | L1=0.45044 | TV=0.00268
[NC][t=3][r=1] step 700/800 | CE=0.0000 | L1=0.44960 | TV=0.00270
[NC][t=3][r=1] step 750/800 | CE=0.0000 | L1=0.44868 | TV=0.00273
[NC][t=3][r=1] step 800/800 | CE=0.0000 | L1=0.44769 | TV=0.00276
[NC][t=3][r=2] step 50/800 | CE=0.0000 | L1=0.49921 | TV=0.00140
[NC][t=3][r=2] step 100/800 | CE=0.0000 | L1=0.49733 | TV=0.00135
[NC][t=3][r=2] step 150/800 | CE=0.0000 | L1=0.49493 | TV=0.00134
[NC][t=3][r=2] step 200/800 | CE=0.0000 | L1=0.49212 | TV=0.00136
[NC][t=3][r=2] step 250/800 | CE=0.0000 | L1=0.48898 | TV=0.00142
[NC][t=3][r=2] step 300/800 | CE=0.0000 | L1=0.48551 | TV=0.00149
[NC][t=3][r=2] step 350/800 | CE=0.0000 | L1=0.48175 | TV=0.00159
[NC][t=3][r=2] step 400/800 | CE=0.0000 | L1=0.47769 | TV=0.00170
[NC][t=3][r=2] step 450/800 | CE=0.0000 | L1=0.47334 | TV=0.00182
[NC][t=3][r=2] step 500/800 | CE=0.0000 | L1=0.46869 | TV=0.00195
[NC][t=3][r=2] step 550/800 | CE=0.0000 | L1=0.46511 | TV=0.00205
[NC][t=3][r=2] step 600/800 | CE=0.0000 | L1=0.46458 | TV=0.00207
[NC][t=3][r=2] step 650/800 | CE=0.0000 | L1=0.46399 | TV=0.00208
[NC][t=3][r=2] step 700/800 | CE=0.0000 | L1=0.46336 | TV=0.00210
[NC][t=3][r=2] step 750/800 | CE=0.0000 | L1=0.46267 | TV=0.00212
[NC][t=3][r=2] step 800/800 | CE=0.0000 | L1=0.46193 | TV=0.00214
[NC][t=3] DONE | L1=0.447692 | TV=0.002764 | CE=0.0000
[NC][t=4][r=0] step 50/800 | CE=0.0000 | L1=0.49972 | TV=0.00155
[NC][t=4][r=0] step 100/800 | CE=0.0000 | L1=0.49836 | TV=0.00151
[NC][t=4][r=0] step 150/800 | CE=0.0000 | L1=0.49658 | TV=0.00147
[NC][t=4][r=0] step 200/800 | CE=0.0000 | L1=0.49446 | TV=0.00145
[NC][t=4][r=0] step 250/800 | CE=0.0000 | L1=0.49204 | TV=0.00145
[NC][t=4][r=0] step 300/800 | CE=0.0000 | L1=0.48934 | TV=0.00148
[NC][t=4][r=0] step 350/800 | CE=0.0000 | L1=0.48638 | TV=0.00152
[NC][t=4][r=0] step 400/800 | CE=0.0000 | L1=0.48317 | TV=0.00158
[NC][t=4][r=0] step 450/800 | CE=0.0000 | L1=0.47969 | TV=0.00166
[NC][t=4][r=0] step 500/800 | CE=0.0000 | L1=0.47596 | TV=0.00176
[NC][t=4][r=0] step 550/800 | CE=0.0000 | L1=0.47308 | TV=0.00184
[NC][t=4][r=0] step 600/800 | CE=0.0000 | L1=0.47264 | TV=0.00185
[NC][t=4][r=0] step 650/800 | CE=0.0000 | L1=0.47217 | TV=0.00186
[NC][t=4][r=0] step 700/800 | CE=0.0000 | L1=0.47165 | TV=0.00188
[NC][t=4][r=0] step 750/800 | CE=0.0000 | L1=0.47110 | TV=0.00189
[NC][t=4][r=0] step 800/800 | CE=0.0000 | L1=0.47049 | TV=0.00191
[NC][t=4][r=1] step 50/800 | CE=0.0000 | L1=0.50013 | TV=0.00185
[NC][t=4][r=1] step 100/800 | CE=0.0000 | L1=0.49887 | TV=0.00180
[NC][t=4][r=1] step 150/800 | CE=0.0000 | L1=0.49722 | TV=0.00175
[NC][t=4][r=1] step 200/800 | CE=0.0000 | L1=0.49526 | TV=0.00172
[NC][t=4][r=1] step 250/800 | CE=0.0000 | L1=0.49301 | TV=0.00171
[NC][t=4][r=1] step 300/800 | CE=0.0000 | L1=0.49051 | TV=0.00172
[NC][t=4][r=1] step 350/800 | CE=0.0000 | L1=0.48776 | TV=0.00174
[NC][t=4][r=1] step 400/800 | CE=0.0000 | L1=0.48477 | TV=0.00178
[NC][t=4][r=1] step 450/800 | CE=0.0000 | L1=0.48154 | TV=0.00185
[NC][t=4][r=1] step 500/800 | CE=0.0000 | L1=0.47807 | TV=0.00192
[NC][t=4][r=1] step 550/800 | CE=0.0000 | L1=0.47538 | TV=0.00199
[NC][t=4][r=1] step 600/800 | CE=0.0000 | L1=0.47498 | TV=0.00200
[NC][t=4][r=1] step 650/800 | CE=0.0000 | L1=0.47454 | TV=0.00201
[NC][t=4][r=1] step 700/800 | CE=0.0000 | L1=0.47406 | TV=0.00202
[NC][t=4][r=1] step 750/800 | CE=0.0000 | L1=0.47354 | TV=0.00204
[NC][t=4][r=1] step 800/800 | CE=0.0000 | L1=0.47298 | TV=0.00205
[NC][t=4][r=2] step 50/800 | CE=0.0000 | L1=0.50005 | TV=0.00157
