=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 18:37:00 CST

==> Running train_attack_square_resnet_celeba_0.1_square_no_smooth_epoch30.pt
Start time: 2025年 08月 07日 星期四 18:37:00 CST
using fraction:  1
[NC][t=1][r=2] step 450/800 | CE=0.0000 | L1=0.46630 | TV=0.00195
[NC][t=1][r=2] step 500/800 | CE=0.0000 | L1=0.46057 | TV=0.00217
[NC][t=1][r=2] step 550/800 | CE=0.0000 | L1=0.45617 | TV=0.00233
[NC][t=1][r=2] step 600/800 | CE=0.0000 | L1=0.45551 | TV=0.00236
[NC][t=1][r=2] step 650/800 | CE=0.0000 | L1=0.45480 | TV=0.00238
[NC][t=1][r=2] step 700/800 | CE=0.0000 | L1=0.45402 | TV=0.00241
[NC][t=1][r=2] step 750/800 | CE=0.0000 | L1=0.45317 | TV=0.00244
[NC][t=1][r=2] step 800/800 | CE=0.0000 | L1=0.45226 | TV=0.00247
[NC][t=1] DONE | L1=0.452263 | TV=0.002475 | CE=0.0000
[NC][t=2][r=0] step 50/800 | CE=0.0000 | L1=0.49972 | TV=0.00158
[NC][t=2][r=0] step 100/800 | CE=0.0000 | L1=0.49812 | TV=0.00154
[NC][t=2][r=0] step 150/800 | CE=0.0000 | L1=0.49610 | TV=0.00153
[NC][t=2][r=0] step 200/800 | CE=0.0000 | L1=0.49374 | TV=0.00154
[NC][t=2][r=0] step 250/800 | CE=0.0000 | L1=0.49108 | TV=0.00158
[NC][t=2][r=0] step 300/800 | CE=0.0000 | L1=0.48814 | TV=0.00164
[NC][t=2][r=0] step 350/800 | CE=0.0000 | L1=0.48495 | TV=0.00173
[NC][t=2][r=0] step 400/800 | CE=0.0000 | L1=0.48152 | TV=0.00183
[NC][t=2][r=0] step 450/800 | CE=0.0000 | L1=0.47784 | TV=0.00195
[NC][t=2][r=0] step 500/800 | CE=0.0000 | L1=0.47392 | TV=0.00208
[NC][t=2][r=0] step 550/800 | CE=0.0000 | L1=0.47090 | TV=0.00218
[NC][t=2][r=0] step 600/800 | CE=0.0000 | L1=0.47045 | TV=0.00220
[NC][t=2][r=0] step 650/800 | CE=0.0000 | L1=0.46996 | TV=0.00222
[NC][t=2][r=0] step 700/800 | CE=0.0000 | L1=0.46942 | TV=0.00223
[NC][t=2][r=0] step 750/800 | CE=0.0000 | L1=0.46884 | TV=0.00225
[NC][t=2][r=0] step 800/800 | CE=0.0000 | L1=0.46821 | TV=0.00228
[NC][t=2][r=1] step 50/800 | CE=0.0000 | L1=0.49953 | TV=0.00131
[NC][t=2][r=1] step 100/800 | CE=0.0000 | L1=0.49791 | TV=0.00127
[NC][t=2][r=1] step 150/800 | CE=0.0000 | L1=0.49583 | TV=0.00125
[NC][t=2][r=1] step 200/800 | CE=0.0000 | L1=0.49338 | TV=0.00126
[NC][t=2][r=1] step 250/800 | CE=0.0000 | L1=0.49062 | TV=0.00130
[NC][t=2][r=1] step 300/800 | CE=0.0000 | L1=0.48756 | TV=0.00135
[NC][t=2][r=1] step 350/800 | CE=0.0000 | L1=0.48422 | TV=0.00143
[NC][t=2][r=1] step 400/800 | CE=0.0000 | L1=0.48061 | TV=0.00152
[NC][t=2][r=1] step 450/800 | CE=0.0000 | L1=0.47672 | TV=0.00163
[NC][t=2][r=1] step 500/800 | CE=0.0000 | L1=0.47256 | TV=0.00175
[NC][t=2][r=1] step 550/800 | CE=0.0000 | L1=0.46934 | TV=0.00184
[NC][t=2][r=1] step 600/800 | CE=0.0000 | L1=0.46886 | TV=0.00186
[NC][t=2][r=1] step 650/800 | CE=0.0000 | L1=0.46833 | TV=0.00187
[NC][t=2][r=1] step 700/800 | CE=0.0000 | L1=0.46776 | TV=0.00189
[NC][t=2][r=1] step 750/800 | CE=0.0000 | L1=0.46714 | TV=0.00191
[NC][t=2][r=1] step 800/800 | CE=0.0000 | L1=0.46647 | TV=0.00193
[NC][t=2][r=2] step 50/800 | CE=0.0000 | L1=0.50035 | TV=0.00187
[NC][t=2][r=2] step 100/800 | CE=0.0000 | L1=0.49903 | TV=0.00182
[NC][t=2][r=2] step 150/800 | CE=0.0000 | L1=0.49731 | TV=0.00178
[NC][t=2][r=2] step 200/800 | CE=0.0000 | L1=0.49528 | TV=0.00175
[NC][t=2][r=2] step 250/800 | CE=0.0000 | L1=0.49298 | TV=0.00175
[NC][t=2][r=2] step 300/800 | CE=0.0000 | L1=0.49042 | TV=0.00177
[NC][t=2][r=2] step 350/800 | CE=0.0000 | L1=0.48764 | TV=0.00181
